id,gender,race,ses,schtyp,prog,read,write,math,science,socst
70,male,4,1,1,1,57,52,41,47,57
121,female,4,2,1,3,68,59,53,63,61
86,male,4,3,1,1,44,33,54,58,31
141,male,4,3,1,3,63,44,47,53,56
172,male,4,2,1,2,47,52,57,53,61
113,male,4,2,1,2,44,52,51,63,61
50,male,3,2,1,1,50,59,42,53,61
11,male,1,2,1,2,34,46,45,39,36
84,male,4,2,1,1,63,57,54,58,51
48,male,3,2,1,2,57,55,52,50,51
75,male,4,2,1,3,60,46,51,53,61
60,male,4,2,1,2,57,65,51,63,61
95,male,4,3,1,2,73,60,71,61,71
104,male,4,3,1,2,54,63,57,55,46
38,male,3,1,1,2,45,57,50,31,56
115,male,4,1,1,1,42,49,43,50,56
76,male,4,3,1,2,47,52,51,50,56
195,male,4,2,2,1,57,57,60,58,56
114,male,4,3,1,2,68,65,62,55,61
85,male,4,2,1,1,55,39,57,53,46
167,male,4,2,1,1,63,49,35,66,41
143,male,4,2,1,3,63,63,75,72,66
41,male,3,2,1,2,50,40,45,55,56
20,male,1,3,1,2,60,52,57,61,61
12,male,1,2,1,3,37,44,45,39,46
53,male,3,2,1,3,34,37,46,39,31
154,male,4,3,1,2,65,65,66,61,66
178,male,4,2,2,3,47,57,57,58,46
196,male,4,3,2,2,44,38,49,39,46
29,male,2,1,1,1,52,44,49,55,41
126,male,4,2,1,1,42,31,57,47,51
103,male,4,3,1,2,76,52,64,64,61
192,male,4,3,2,2,65,67,63,66,71
150,male,4,2,1,3,42,41,57,72,31
199,male,4,3,2,2,52,59,50,61,61
144,male,4,3,1,1,60,65,58,61,66
200,male,4,2,2,2,68,54,75,66,66
80,male,4,3,1,2,65,62,68,66,66
16,male,1,1,1,3,47,31,44,36,36
153,male,4,2,1,3,39,31,40,39,51
176,male,4,2,2,2,47,47,41,42,51
177,male,4,2,2,2,55,59,62,58,51
168,male,4,2,1,2,52,54,57,55,51
40,male,3,1,1,1,42,41,43,50,41
62,male,4,3,1,1,65,65,48,63,66
169,male,4,1,1,1,55,59,63,69,46
49,male,3,3,1,3,50,40,39,49,47
136,male,4,2,1,2,65,59,70,63,51
189,male,4,2,2,2,47,59,63,53,46
7,male,1,2,1,2,57,54,59,47,51
27,male,2,2,1,2,53,61,61,57,56
128,male,4,3,1,2,39,33,38,47,41
21,male,1,2,1,1,44,44,61,50,46
183,male,4,2,2,2,63,59,49,55,71
132,male,4,2,1,2,73,62,73,69,66
15,male,1,3,1,3,39,39,44,26,42
67,male,4,1,1,3,37,37,42,33,32
22,male,1,2,1,3,42,39,39,56,46
185,male,4,2,2,2,63,57,55,58,41
9,male,1,2,1,3,48,49,52,44,51
181,male,4,2,2,2,50,46,45,58,61
170,male,4,3,1,2,47,62,61,69,66
134,male,4,1,1,1,44,44,39,34,46
108,male,4,2,1,1,34,33,41,36,36
197,male,4,3,2,2,50,42,50,36,61
140,male,4,2,1,3,44,41,40,50,26
171,male,4,2,1,2,60,54,60,55,66
107,male,4,1,1,3,47,39,47,42,26
81,male,4,1,1,2,63,43,59,65,44
18,male,1,2,1,3,50,33,49,44,36
155,male,4,2,1,1,44,44,46,39,51
97,male,4,3,1,2,60,54,58,58,61
68,male,4,2,1,2,73,67,71,63,66
