Code,Description
"19031","Mackey International Inc.: MAC"
"19032","Munz Northern Airlines Inc.: XY"
"19033","Cochise Airlines Inc.: COC"
"19034","Golden Gate Airlines Inc.: GSA"
"19035","Aeromech Inc.: RZZ"
"19036","Golden West Airlines Co.: GLW"
"19037","Puerto Rico Intl Airlines: PRN"
"19038","Air America Inc.: STZ"
"19039","Swift Aire Lines Inc.: SWT"
"19040","American Central Airlines: TSF"
"19041","Valdez Airlines: VEZ"
"19042","Southeast Alaska Airlines: WEB"
"19043","Altair Airlines Inc.: AAR"
"19044","Chitina Air Service: CHI"
"19045","Marco Island Airways Inc.: MRC"
"19046","Caribbean Air Services Inc.: OHZ"
"19047","Sundance Airlines: PRO"
"19048","Seair Alaska Airlines Inc.: SAI"
"19049","Southeast Airlines Inc.: SLZ"
"19050","Alaska Aeronautical Indust.: AAZ"
"19051","Imperial Airlines Inc.: IMP"
"19052","Trans Western Airlines Utah: TWA"
"19053","Wright Airlines Inc.: WRT"
"19054","Presidential Express: COL"
"19055","Mississippi Valley Airlines: MVA"
"19056","Channel Flying Inc.: CHL"
"19057","Rocky Mountain Airways Inc.: JCZ"
"19058","Midstate Airlines Inc.: MIS"
"19059","Sedalia Marshall Boonvl Stg: STG"
"19060","Inlet Airlines: CKI"
"19061","Command Airways Inc.: CMD"
"19062","Emerald Airlines: EMA"
"19063","Orion Air Inc.: ORI"
"19064","Pan Am Express: RAN"
"19065","Air Micronesia Inc.: AJ"
"19066","Sunbird Inc.: SKI"
"19067","Wings West Airlines: WWI"
"19068","Southcentral Air Inc.: AND"
"19069","Air Cargo Express Inc.: ACG"
"19070","Associated Aviation Act.: AAA"
"19071","Antilles Air Boats Inc.: AAB"
"19072","AAA Airlines: AAE"
"19073","Argosy Air Lines Inc.: AAL"
"19074","Air Bahia: ABH"
"19075","Airbama Incorporated: ABI"
"19076","Aeronaves Boringuena Inc.: ABO"
"19077","Alaska Central Airways Inc.: ACA"
"19078","Island Airlines Hawaii Inc.: ACH"
"19079","AAA-Action Air Carrier Inc.: ACI"
"19080","Air Cargo Enterprises Inc.: ACO"
"19081","Air Chaparral Inc.: ACP"
"19082","Alamo Commuter Airlines: ACS"
"19083","Air Central Inc. (1): ACT"
"19084","Air Central Inc.: ACK"
"19085","Astec Air East Inc.: AEC"
"19086","American Flag Airlines Inc.: AFA"
"19087","Air Cargo America Inc.: AGA"
"19088","All Island Air: AIA"
"19089","Air Express Inc.: AIE"
"19090","Air Mont. Inc.: AIM"
"19091","Air Indiana: AIN"
"19092","Air-Lift Associates Inc.: ALE"
"19093","Brandt Air: ALI"
"19094","All Seasons Air Pacific: ALL"
"19095","North American Airlines Inc.: AMA"
"19096","American Inter-Island Inc.: AMI"
"19097","Air Nebraska Inc.: ANB"
"19098","Airways Of New Mexico Inc.: ANM"
"19099","Metro Air Northeast Vermont: ANO"
"19100","Air North/Nenana: ANT"
"19101","Trans New York: AOI"
"19102","Arizona Pacific Inc.: API"
"19103","Appalachian Flying Service: APL"
"19104","Air Polynesia Inc.: APY"
"19105","Arizona Aero Corp.: ARI"
"19106","Arnold Aviation: ARN"
"19107","Air Oregon: ARO"
"19108","Arrowhead Airways Inc.: ARR"
"19109","Amistad Airlines: ASD"
"19110","Alpine Air Services Inc.: ASI"
"19111","Asap Air Inc.: ASP"
"19112","Astro Airways: AST"
"19113","Air Atlantic Airlines Inc.: ATN"
"19114","Pacific National Airways: ATO"
"19115","Atlantis Airlines Inc.: ATS"
"19116","Aerotransit Inc.: ATT"
"19117","Air Carolina: ATX"
"19118","Air Vectors Airways: AVA"
"19119","Aero Virgin Islands Corp.: AVI"
"19120","Aviation Services: AVS"
"19121","Southern Jersey Airways: AVZ"
"19122","Business Aircraft Corp.: BAC"
"19123","Brennan & Hargreaves Inc.: BAH"
"19124","Bankair Inc.: BAK"
"19125","Bard-Air Corp.: BAR"
"19126","Baja Cortez Airlines: BCA"
"19127","Bennington Aviation Inc.: BEN"
"19128","Beyer Aviation: BEY"
"19129","Blackhawk Airways Inc.: BHK"
"19130","Bighorn Airways Inc.: BHO"
"19131","Birchwood Air Service: BIR"
"19132","Bremerton Aviation Inc.: BMT"
"19133","Boise Air Service: BOA"
"19134","Brower Airways Inc.: BRO"
"19135","Burlington Airways Inc.: BUR"
"19136","Coleman Air Transport: CAC"
"19137","Crawford Aviation Inc.: CAI"
"19138","C & M Airlines: CAM"
"19139","Metro Air Northeast N Y: CAP"
"19140","Catalina Airlines Inc.: CAT"
"19141","Air Virginia: CAV"
"19142","Carriba Air Inc.: CBA"
"19143","Cen-Tex Airlines Inc.: CEN"
